id,subject,grade,book_code,question,ground_truth,reference_chunks
15,IPAS,6,IPAS_VI,Mengapa manusia memerlukan makanan?,"Manusia memerlukan makanan untuk tumbuh, beraktivitas, dan memperoleh zat gizi yang dibutuhkan tubuh.",IPAS_VI_CH0023; IPAS_VI_CH0030
16,IPAS,6,IPAS_VI,Apa yang dimaksud dengan organ pencernaan?,Organ pencernaan adalah organ yang memproses makanan mulai dari masuk ke mulut hingga menjadi tinja yang dikeluarkan melalui anus.,IPAS_VI_CH0047
17,IPAS,6,IPAS_VI,Apa yang terjadi di mulut saat kita makan?,"Di mulut, makanan dicerna secara mekanik dengan bantuan gigi, lidah, dan air liur sampai menjadi lebih lunak.",IPAS_VI_CH0039
18,IPAS,6,IPAS_VI,Sebutkan urutan saluran pencernaan pada manusia.,"Urutan saluran pencernaan manusia adalah mulut, kerongkongan atau esofagus, lambung, usus halus, usus besar, rektum, dan anus.",IPAS_VI_CH0023
19,IPAS,6,IPAS_VI,Apa fungsi usus halus?,Usus halus berfungsi menyerap sari-sari makanan atau nutrisi hasil pencernaan.,IPAS_VI_CH0058
20,IPAS,6,IPAS_VI,Apa yang dimaksud dengan gizi seimbang?,"Gizi seimbang adalah pemenuhan zat gizi yang diperlukan tubuh secara seimbang untuk tumbuh, menjaga kesehatan, dan melakukan aktivitas sehari-hari.",IPAS_VI_CH0066; IPAS_VI_CH0072
21,IPAS,6,IPAS_VI,Sebutkan tujuh jenis nutrisi utama yang diperlukan tubuh.,"Tujuh jenis nutrisi utama yang diperlukan tubuh adalah protein, lemak, karbohidrat, serat, air, vitamin, dan mineral.",IPAS_VI_CH0075
22,PKN,4,PKN_IV,Apa yang dimaksud dengan lingkungan sekitar?,"Lingkungan sekitar adalah lingkungan yang dekat dengan kehidupan sehari-hari, seperti lingkungan tempat tinggal di RT, RW, desa, atau kelurahan.",PKN_IV_CH0033; PKN_IV_CH0034
23,PKN,4,PKN_IV,Apa tujuan kegiatan Karnaval Sepeda Hias Desa Bineka?,Tujuan kegiatan Karnaval Sepeda Hias Desa Bineka adalah agar anak-anak mengenal keanekaragaman suku dan budaya bangsa Indonesia.,PKN_IV_CH0058
24,PKN,4,PKN_IV,Mengapa kegiatan karnaval dapat menumbuhkan sikap toleransi dan tenggang rasa?,"Kegiatan karnaval dapat menumbuhkan toleransi dan tenggang rasa karena peserta belajar saling mengenal serta menghargai perbedaan adat istiadat, agama, dan kepercayaan di masyarakat.",PKN_IV_CH0058; PKN_IV_CH0059
25,PKN,4,PKN_IV,Sebutkan contoh keberagaman yang ada di lingkungan sekitar.,"Contoh keberagaman di lingkungan sekitar antara lain keberagaman suku, budaya, agama, dan kepercayaan.",PKN_IV_CH0033; PKN_IV_CH0239
26,PKN,4,PKN_IV,Apa tugas sekretaris desa atau kelurahan?,"Sekretaris desa atau kelurahan bertugas mengurus tata usaha, keuangan, dan perencanaan.",PKN_IV_CH0087
27,PKN,4,PKN_IV,Mengapa kita perlu mengenal lingkungan sekitar tempat tinggal?,"Kita perlu mengenal lingkungan sekitar agar mengetahui keadaan tempat tinggal, memahami keberagaman, serta tumbuh sikap peduli terhadap lingkungan.",PKN_IV_CH0100; PKN_IV_CH0239
28,PKN,4,PKN_IV,Bagaimana sikap yang tepat terhadap keberagaman di lingkungan sekitar?,"Sikap yang tepat terhadap keberagaman adalah saling menghargai, bersikap toleran, dan menjaga kerukunan.",PKN_IV_CH0059; PKN_IV_CH0239
29,PKN,5,PKN_V,Kapan Pancasila ditetapkan sebagai dasar negara Indonesia?,Pancasila ditetapkan sebagai dasar negara Indonesia pada tanggal 18 Agustus 1945 dalam sidang PPKI.,PKN_V_CH0096
30,PKN,5,PKN_V,Siapa yang menyampaikan pidato tentang lima prinsip dasar negara pada 1 Juni 1945?,Pidato tentang lima prinsip dasar negara pada 1 Juni 1945 disampaikan oleh Sukarno dalam sidang BPUPK.,PKN_V_CH0096
31,PKN,5,PKN_V,Apa yang dimaksud dengan musyawarah?,Musyawarah adalah proses pembahasan bersama tentang suatu hal untuk mencapai keputusan bersama yang adil.,PKN_V_CH0223
32,PKN,5,PKN_V,Mengapa musyawarah penting dalam kehidupan bersama?,Musyawarah penting karena membantu orang mencapai kesepakatan bersama dengan menghargai pendapat orang lain dan mempertimbangkan kepentingan bersama.,PKN_V_CH0223; PKN_V_CH0225
33,PKN,5,PKN_V,Apa yang dimaksud dengan hak?,"Hak adalah kewenangan seseorang untuk mendapatkan, memiliki, atau melakukan sesuatu berdasarkan ketentuan yang berlaku.",PKN_V_CH0190; PKN_V_CH1558
34,PKN,5,PKN_V,Apa yang dimaksud dengan kewajiban?,Kewajiban adalah segala sesuatu yang harus dilaksanakan oleh seseorang berdasarkan aturan yang berlaku.,PKN_V_CH0190; PKN_V_CH1558
35,PKN,5,PKN_V,Mengapa hak dan kewajiban selalu saling berkaitan?,"Hak dan kewajiban selalu saling berkaitan karena di mana ada kewajiban yang dilaksanakan, di situ akan timbul hak yang dapat diperoleh.",PKN_V_CH1558
36,PKN,6,PKN_VI,Apa yang dimaksud dengan nilai-nilai Pancasila?,Nilai-nilai Pancasila adalah nilai kebaikan yang penting dan berharga serta menjadi pedoman hidup bangsa Indonesia.,PKN_VI_CH0064; PKN_VI_CH0067
37,PKN,6,PKN_VI,Mengapa sila-sila Pancasila tidak dapat berdiri sendiri?,"Sila-sila Pancasila tidak dapat berdiri sendiri karena semuanya saling terhubung, saling menguatkan, dan harus diamalkan secara utuh.",PKN_VI_CH0053; PKN_VI_CH0068
38,PKN,6,PKN_VI,Dari mana Pancasila digali menurut Sukarno?,"Menurut Sukarno, Pancasila digali dari praktik hidup bangsa Indonesia.",PKN_VI_CH0068; PKN_VI_CH0077
39,PKN,6,PKN_VI,Mengapa pengalaman sehari-hari dapat menjadi sumber belajar Pancasila?,Pengalaman sehari-hari dapat menjadi sumber belajar Pancasila karena dalam kehidupan sehari-hari terdapat banyak perbuatan baik dan praktik nilai-nilai Pancasila yang bisa diamati dan dipelajari.,PKN_VI_CH0064; PKN_VI_CH0077
40,PKN,6,PKN_VI,Apa yang dimaksud dengan ideologi negara Indonesia?,Ideologi adalah cita-cita atau landasan yang dimiliki suatu bangsa. Ideologi bangsa dan negara Indonesia adalah Pancasila.,PKN_VI_CH0155
41,PKN,6,PKN_VI,Apa yang dimaksud dengan musyawarah untuk mufakat?,Musyawarah untuk mufakat adalah cara mengambil keputusan bersama dengan mendengarkan pendapat semua pihak dan mengutamakan kepentingan umum.,PKN_VI_CH0342; PKN_VI_CH0344
42,PKN,6,PKN_VI,Mengapa musyawarah penting bagi persatuan dan kepentingan umum?,"Musyawarah penting karena melatih kita menghargai pendapat orang lain, menjaga persatuan, dan menghasilkan keputusan yang bermanfaat bagi banyak orang.",PKN_VI_CH0340; PKN_VI_CH0342
43,PJOK,4,PJOK_IV,Apa yang dimaksud dengan pencak silat?,Pencak silat adalah cabang olahraga bela diri yang berasal dari Indonesia dan merupakan warisan asli nenek moyang bangsa Indonesia.,PJOK_IV_CH0366
44,PJOK,4,PJOK_IV,Apa yang dimaksud dengan gerak lokomotor dalam pencak silat?,Gerak lokomotor dalam pencak silat adalah gerak berpindah tempat yang dilakukan dengan gerak langkah untuk mendekati atau menjauhi lawan.,PJOK_IV_CH0376
45,PJOK,4,PJOK_IV,Apa yang dimaksud dengan gerak nonlokomotor dalam pencak silat?,Gerak nonlokomotor dalam pencak silat adalah gerak yang dilakukan tanpa berpindah tempat.,PJOK_IV_CH0378
46,PJOK,4,PJOK_IV,Sebutkan empat bentuk sikap kuda-kuda dalam pencak silat.,"Empat bentuk sikap kuda-kuda dalam pencak silat adalah kuda-kuda depan, kuda-kuda belakang, kuda-kuda tengah, dan kuda-kuda samping.",PJOK_IV_CH0378; PJOK_IV_CH0379
47,PJOK,4,PJOK_IV,Apa fungsi sikap pasang dalam pencak silat?,Sikap pasang berfungsi sebagai sikap siap menghadapi lawan untuk memulai atau membalas serangan serta mendukung pelaksanaan gerak dasar pencak silat.,PJOK_IV_CH0379
48,PJOK,4,PJOK_IV,Apa yang dimaksud dengan kebugaran jasmani?,Kebugaran jasmani adalah kemampuan tubuh untuk melakukan aktivitas fisik dengan sungguh-sungguh tanpa mengalami kelelahan berlebihan dan masih memiliki tenaga untuk aktivitas lainnya.,PJOK_IV_CH0446; PJOK_IV_CH0480
49,PJOK,4,PJOK_IV,Mengapa aktivitas fisik penting untuk menjaga kebugaran jasmani?,"Aktivitas fisik penting karena merupakan cara untuk mewujudkan dan meningkatkan kebugaran jasmani, termasuk kekuatan, daya tahan, kecepatan, dan kelincahan.",PJOK_IV_CH0451; PJOK_IV_CH0480
50,PJOK,5,PJOK_V,Apa yang dimaksud dengan keterampilan gerak?,"Keterampilan gerak adalah cara tubuh bergerak, seperti berlari, melompat, atau melempar.",PJOK_V_CH0032; PJOK_V_CH0056
51,PJOK,5,PJOK_V,Apa manfaat mempelajari keterampilan gerak?,"Dengan mempelajari keterampilan gerak, tubuh menjadi lebih kuat dan sehat serta lebih percaya diri untuk beraktivitas.",PJOK_V_CH0032; PJOK_V_CH0056
52,PJOK,5,PJOK_V,Mengapa kita perlu menyesuaikan kekuatan lompatan saat melewati rintangan?,Kita perlu menyesuaikan kekuatan lompatan agar dapat melewati rintangan tanpa menjatuhkan bola.,PJOK_V_CH0061; PJOK_V_CH0064
53,PJOK,5,PJOK_V,Mengapa keseimbangan penting saat berjalan atau berlari melewati rintangan sambil membawa bola?,Keseimbangan penting agar kita tidak kehilangan kendali gerakan dan tetap dapat menjaga bola saat melewati rintangan.,PJOK_V_CH0061; PJOK_V_CH0064
54,PJOK,5,PJOK_V,Bagaimana cara mengatur kecepatan saat menghadapi rintangan?,"Saat menghadapi rintangan, kita perlu memperlambat langkah untuk bersiap melewatinya dan mempercepat langkah saat lintasan lebih aman atau tanpa rintangan.",PJOK_V_CH0064; PJOK_V_CH0070
55,PJOK,5,PJOK_V,Mengapa koordinasi mata kaki dan tangan penting saat mengubah arah gerak?,"Koordinasi mata, kaki, dan tangan penting agar kita dapat bergerak cepat ke arah yang dituju dengan tetap seimbang dan terkendali.",PJOK_V_CH0071
56,PJOK,5,PJOK_V,Bagaimana strategi agar dapat menghindari rintangan hidup dengan aman?,"Strateginya adalah mengatur kecepatan lari, memilih arah menghindar yang tepat, serta menjaga keseimbangan tubuh agar tidak tergelincir atau jatuh.",PJOK_V_CH0082; PJOK_V_CH0084
57,PJOK,6,PJOK_VI,Apa manfaat berolahraga secara rutin?,Berolahraga secara rutin bermanfaat untuk menjaga kesehatan dan kebugaran tubuh serta membantu meningkatkan kemampuan berpikir dan kreativitas.,PJOK_VI_CH0002
58,PJOK,6,PJOK_VI,Apa peran mata pelajaran PJOK bagi peserta didik?,"PJOK berperan mendorong pertumbuhan fisik, perkembangan psikis, keterampilan motorik, pengetahuan, penalaran, penghayatan nilai, dan pembiasaan pola hidup sehat.",PJOK_VI_CH0010
59,PJOK,6,PJOK_VI,Sikap apa saja yang ditekankan dalam pembelajaran PJOK?,"Pembelajaran PJOK menekankan sikap jujur, disiplin, tanggung jawab, kerja sama, percaya diri, dan sportif.",PJOK_VI_CH0004
60,PJOK,6,PJOK_VI,Olahraga apa saja yang termasuk permainan bola besar pada bab ini?,"Permainan bola besar yang dipelajari pada bab ini adalah sepak bola, bola voli, dan bola basket.",PJOK_VI_CH0086; PJOK_VI_CH0091
61,PJOK,6,PJOK_VI,Mengapa perlengkapan keamanan penting digunakan saat bermain sepak bola?,Perlengkapan keamanan penting digunakan untuk mengurangi risiko cedera saat bermain sepak bola.,PJOK_VI_CH0093
62,PJOK,6,PJOK_VI,Apa yang dimaksud dengan menggiring bola dalam sepak bola?,Menggiring bola adalah aktivitas mendorong bola agar tetap berada dalam jangkauan dan penguasaan sambil berjalan atau berlari ke arah tertentu.,PJOK_VI_CH0103
63,PJOK,6,PJOK_VI,Bagaimana cara melakukan lemparan bola ke dalam pada permainan sepak bola?,"Lemparan bola ke dalam dilakukan dengan berdiri, memegang bola di atas kepala, meliyukkan badan ke belakang, lalu mendorong badan dan mengayunkan lengan ke depan sambil kedua kaki tetap menapak di lapangan.",PJOK_VI_CH0117
